"rank","player","age","team","position","games_played","games_started","minutes_per_game","field_goals_made","field_goals_attempted","field_goal_pct","three_point_made","three_point_attempted","three_point_pct","two_point_made","two_point_attempted","two_point_pct","effective_fg_pct","free_throws_made","free_throws_attempted","free_throw_pct","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points","awards"
532,"Harrison Ingram",22,"SAS","SF",5,0,35,2.1,4.1,0.5,0,1,0,2.1,3.1,0.667,0.5,0,0,NA,2.1,7.2,9.3,3.1,3.1,0,1,2.1,4.1,NA
533,"Miles Norris",24,"BOS","PF",3,0,35,2.1,9.3,0.222,2.1,7.2,0.286,0,2.1,0,0.333,1,2.1,0.5,2.1,7.2,9.3,0,2.1,1,0,0,7.2,NA
534,"David Duke Jr.",25,"SAS","SG",6,0,34,6.4,14.8,0.429,3.2,6.4,0.5,3.2,8.5,0.375,0.536,1.1,2.1,0.5,1.1,4.2,5.3,4.2,1.1,0,2.1,1.1,16.9,NA
535,"D.J. Carton",24,"TOR","SG",4,0,33,1.1,7.6,0.143,0,3.3,0,1.1,4.4,0.25,0.143,1.1,1.1,1,0,4.4,4.4,3.3,2.2,0,4.4,1.1,3.3,NA
536,"Bryce McGowens",22,"POR","SG",13,0,32,4.5,15.8,0.286,0,4.5,0,4.5,11.3,0.4,0.286,5.6,6.8,0.833,2.3,1.1,3.4,2.3,1.1,0,4.5,3.4,14.6,NA
537,"Leonard Miller",21,"MIN","SF",13,0,32,6.8,16.9,0.4,0,5.6,0,6.8,11.3,0.6,0.4,9,9,1,3.4,9,12.4,0,2.3,1.1,2.3,2.3,22.5,NA
538,"Ulrich Chomche",19,"TOR","PF",7,0,32,2.3,5.6,0.4,0,0,NA,2.3,5.6,0.4,0.4,1.1,2.3,0.5,4.5,4.5,9,2.3,0,1.1,2.3,5.6,5.6,NA
539,"Jalen Bridges",23,"PHO","SF",8,0,30,2.4,8.4,0.286,2.4,8.4,0.286,0,0,NA,0.429,3.6,4.8,0.75,0,4.8,4.8,0,0,0,4.8,0,10.8,NA
540,"Jahmir Young",24,"CHI","PG",6,0,30,4.8,6,0.8,1.2,2.4,0.5,3.6,3.6,1,0.9,2.4,2.4,1,1.2,2.4,3.6,7.2,0,0,1.2,2.4,13.2,NA
541,"Kevin McCullar Jr.",23,"NYK","SF",4,0,29,2.5,8.7,0.286,0,1.2,0,2.5,7.4,0.333,0.286,2.5,2.5,1,0,9.9,9.9,2.5,1.2,1.2,0,7.4,7.4,NA
