"rank","player","age","team","position","games_played","games_started","minutes_per_game","field_goals_made","field_goals_attempted","field_goal_pct","three_point_made","three_point_attempted","three_point_pct","two_point_made","two_point_attempted","two_point_pct","effective_fg_pct","free_throws_made","free_throws_attempted","free_throw_pct","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points","awards"
31,"Coby White",24,"CHI","SG",74,73,2450,7.5,16.5,0.453,3.2,8.6,0.37,4.3,7.9,0.544,0.55,4.1,4.5,0.902,0.4,3.6,4,4.8,1,0.2,2.6,2.3,22.2,NA
32,"LeBron James",40,"LAL","SF",70,70,2444,9.6,18.7,0.513,2.2,5.8,0.376,7.4,12.9,0.574,0.571,3.8,4.9,0.782,1.1,7,8,8.5,1,0.6,3.8,1.5,25.2,NA
33,"Domantas Sabonis",28,"SAC","C",70,70,2429,7.8,13.2,0.59,1,2.3,0.417,6.8,10.9,0.627,0.627,3.2,4.3,0.754,4,10.4,14.4,6.3,0.7,0.4,3,3.4,19.8,NA
34,"Jamal Murray",27,"DEN","PG",67,67,2418,7.9,16.7,0.474,2.3,5.9,0.393,5.6,10.8,0.518,0.543,3.2,3.7,0.886,0.7,3.2,3.9,6,1.4,0.5,2.1,1.9,21.4,NA
35,"Alperen Şengün",22,"HOU","C",76,76,2395,8.5,17.2,0.496,0.3,1.4,0.233,8.2,15.8,0.519,0.505,4.4,6.4,0.692,3.9,7.9,11.8,5.6,1.3,0.9,2.9,3.1,21.8,NA
36,"Dillon Brooks",29,"HOU","SF",75,75,2388,5.8,13.5,0.429,2.8,7.1,0.397,3,6.4,0.465,0.533,1.5,1.8,0.818,1.1,3,4.1,1.9,0.9,0.2,1.1,3.6,15.9,NA
37,"Rudy Gobert",32,"MIN","C",72,72,2388,5.1,7.7,0.669,0,0,NA,5.1,7.7,0.669,0.669,2.8,4.1,0.674,4,7.8,11.8,1.9,0.8,1.6,1.3,2.7,13.1,NA
38,"Tobias Harris",32,"DET","PF",73,73,2305,6,12.6,0.477,1.4,4.1,0.345,4.6,8.4,0.542,0.534,2.2,2.6,0.861,1,5.7,6.7,2.5,1.2,0.9,1.3,2.2,15.6,NA
39,"Darius Garland",25,"CLE","PG",75,75,2301,8.7,18.4,0.472,3.3,8.3,0.401,5.4,10.1,0.53,0.562,3.5,4,0.878,0.7,2.6,3.3,7.9,1.4,0.2,3,2.2,24.2,NA
40,"Jalen Brunson",28,"NYK","PG",65,65,2301,9.2,18.8,0.488,2.4,6.2,0.383,6.8,12.6,0.539,0.551,5.8,7,0.821,0.4,2.5,2.9,7.4,0.9,0.1,2.6,2.2,26.4,NA
41,"Jarrett Allen",26,"CLE","C",82,82,2296,7.1,10,0.706,0,0.1,0,7.1,10,0.712,0.706,3.1,4.3,0.718,3.4,9.1,12.5,2.5,1.2,1.1,1.5,2,17.3,NA
42,"Chris Paul",39,"SAS","PG",82,82,2292,3.9,9.2,0.427,2.2,5.8,0.377,1.7,3.3,0.514,0.547,1.3,1.4,0.924,0.5,4.1,4.6,9.5,1.6,0.3,2,2.4,11.4,NA
43,"Anfernee Simons",25,"POR","SG",70,70,2292,7.5,17.7,0.426,3.4,9.3,0.363,4.1,8.4,0.496,0.521,2.7,3,0.902,0.4,2.6,3,5.3,0.9,0.1,2.2,1.8,21.2,NA
44,"Giannis Antetokounmpo",30,"MIL","PF",67,67,2289,12.5,20.7,0.601,0.2,1,0.222,12.3,19.8,0.62,0.607,6.9,11.1,0.617,2.3,10.2,12.6,6.8,0.9,1.2,3.2,2.4,32,NA
45,"Malik Beasley",28,"DET","SG",82,18,2283,7.3,16.9,0.43,5,12.1,0.416,2.2,4.8,0.466,0.579,1.5,2.2,0.679,0.7,2.6,3.4,2.2,1.2,0.1,1.3,2,21.1,NA
46,"Kentavious Caldwell-Pope",31,"ORL","SG",77,77,2279,3.8,8.6,0.439,1.8,5.2,0.342,2,3.4,0.589,0.543,1.3,1.5,0.863,0.5,2.1,2.7,2.1,1.6,0.5,1,2.1,10.6,NA
47,"Nikola Vučević",34,"CHI","C",73,72,2278,8.7,16.4,0.53,2,5.1,0.402,6.7,11.3,0.587,0.592,1.9,2.4,0.805,2.8,8.8,11.6,4,1,0.8,1.9,2.6,21.3,NA
48,"Payton Pritchard",27,"BOS","PG",80,3,2271,6.5,13.7,0.472,4,9.9,0.407,2.4,3.8,0.642,0.62,1.1,1.3,0.845,1.6,3.2,4.9,4.4,1.1,0.2,1.3,1.9,18.1,NA
49,"Kevin Durant",36,"PHO","PF",62,62,2265,9.4,17.9,0.527,2.5,5.9,0.43,6.9,12,0.574,0.598,4.8,5.7,0.839,0.4,5.6,5.9,4.2,0.8,1.2,3,1.7,26.2,NA
50,"Shaedon Sharpe",21,"POR","SG",72,52,2252,8,17.6,0.452,2.3,7.5,0.311,5.6,10.1,0.557,0.519,3,3.9,0.785,1.1,4.1,5.2,3.2,1,0.3,2.4,1.9,21.3,NA
51,"Stephen Curry",36,"GSW","PG",70,70,2252,9,20.1,0.448,5,12.5,0.397,4,7.6,0.534,0.572,4.5,4.8,0.933,0.6,4.3,5,6.7,1.3,0.5,3.2,1.5,27.5,NA
52,"De'Aaron Fox",27,"2TM","PG",62,62,2241,8.7,18.7,0.463,1.9,6.1,0.31,6.8,12.6,0.538,0.514,4.2,5.1,0.827,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6,23.4,NA
52,"De'Aaron Fox",27,"SAC","PG",45,45,1663,9,19.1,0.469,2,6.2,0.322,7,12.9,0.539,0.521,4.4,5.3,0.829,1,3.9,4.9,6,1.4,0.4,2.9,2.6,24.3,NA
52,"De'Aaron Fox",27,"SAS","PG",17,17,578,7.8,17.4,0.446,1.6,5.9,0.274,6.2,11.5,0.535,0.493,3.7,4.5,0.819,0.6,4,4.5,7.2,1.6,0.3,2.6,2.9,20.9,NA
53,"Jalen Williams",23,"OKC","SG",69,69,2237,9.1,18.8,0.484,2,5.5,0.365,7.1,13.3,0.533,0.537,3.8,4.8,0.789,0.9,5,5.9,5.7,1.8,0.7,2.4,2.5,24,NA
54,"Donovan Mitchell",28,"CLE","SG",71,71,2232,9.4,21.3,0.443,3.8,10.2,0.368,5.7,11.1,0.512,0.531,4.8,5.8,0.823,0.9,4.3,5.2,5.7,1.5,0.3,2.4,2.3,27.4,NA
55,"Harrison Barnes",32,"SAS","PF",82,82,2230,5.6,11,0.508,2.5,5.8,0.433,3.1,5.2,0.591,0.622,2.6,3.2,0.809,1.6,3.4,5,2.2,0.6,0.2,0.8,1.2,16.3,NA
56,"Julius Randle",30,"MIN","PF",69,69,2226,7.4,15.2,0.485,1.7,5.1,0.344,5.6,10.1,0.555,0.542,4.4,5.4,0.806,2.3,5.5,7.9,5.2,0.8,0.3,3.2,2.8,20.8,NA
57,"Amen Thompson",22,"HOU","SF",69,42,2225,6.3,11.3,0.557,0.4,1.5,0.275,5.9,9.8,0.599,0.575,2.7,4,0.684,3.1,6,9.1,4.3,1.6,1.4,2.2,2.7,15.7,NA
58,"Jaren Jackson Jr.",25,"MEM","C",74,74,2207,9.7,19.8,0.488,2.4,6.3,0.375,7.3,13.4,0.541,0.548,5.1,6.5,0.781,1.5,5.3,6.8,2.4,1.5,1.8,2.5,4.2,26.8,NA
59,"Desmond Bane",26,"MEM","SG",69,68,2205,8,16.6,0.484,2.7,6.8,0.392,5.4,9.8,0.548,0.565,2.9,3.2,0.894,1,5.8,6.8,6,1.3,0.5,2.8,2.7,21.7,NA
60,"Naz Reid",25,"MIN","C",80,17,2200,7,15.1,0.462,2.9,7.6,0.379,4.1,7.5,0.544,0.556,1.8,2.3,0.776,1.5,6.3,7.9,3,0.9,1.2,1.8,3.1,18.6,NA
61,"Tyus Jones",28,"PHO","PG",81,58,2174,5.1,11.3,0.448,2.7,6.6,0.414,2.3,4.7,0.496,0.57,0.8,0.9,0.895,0.7,2.6,3.2,7.1,1.1,0.1,1.5,1,13.7,NA
62,"Myles Turner",28,"IND","C",72,72,2174,6.5,13.4,0.481,2.6,6.5,0.396,3.9,6.9,0.561,0.577,3,3.9,0.773,1.5,6.3,7.8,1.8,0.9,2.4,2,3,18.5,NA
63,"Evan Mobley",23,"CLE","PF",71,71,2167,8.4,15.1,0.557,1.4,3.8,0.37,7,11.2,0.621,0.604,3.7,5.1,0.725,2.7,8.2,10.9,3.8,1,1.9,2.4,2.3,21.9,NA
64,"Taurean Prince",30,"MIL","SF",80,73,2166,3.9,8.5,0.457,2.4,5.6,0.439,1.5,3,0.492,0.6,0.6,0.8,0.813,0.6,4.2,4.8,2.6,1.3,0.2,1.4,2.7,10.9,NA
65,"Stephon Castle",20,"SAS","SG",81,47,2162,7,16.5,0.428,1.6,5.5,0.285,5.5,10.9,0.501,0.476,4.1,5.7,0.724,1.5,3.5,4.9,5.5,1.2,0.4,2.9,2.7,19.8,NA
66,"Deni Avdija",24,"POR","SF",72,54,2161,6.7,14.1,0.476,2.1,5.7,0.365,4.6,8.4,0.552,0.55,4.8,6.2,0.78,1.8,6.9,8.7,4.7,1.2,0.6,3.3,2.8,20.3,NA
67,"Jaylen Brown",28,"BOS","SF",63,63,2158,8.6,18.7,0.463,1.9,6,0.324,6.7,12.7,0.529,0.515,4.1,5.4,0.764,1.4,4.8,6.1,4.8,1.2,0.3,2.7,2.6,23.3,NA
68,"Tim Hardaway Jr.",32,"DET","SG",77,77,2153,4.6,11.4,0.406,2.8,7.6,0.368,1.8,3.7,0.484,0.529,2.1,2.4,0.855,0.3,2.8,3.1,2.1,0.6,0.1,0.8,1.6,14.1,NA
69,"Bennedict Mathurin",22,"IND","SF",72,49,2149,6.6,14.3,0.458,1.6,4.8,0.34,4.9,9.5,0.519,0.516,4.6,5.6,0.831,1.5,5,6.4,2.3,0.8,0.4,2.3,2.7,19.4,NA
70,"Spencer Dinwiddie",31,"DAL","PG",79,30,2136,4.8,11.5,0.416,1.8,5.5,0.334,2.9,6,0.492,0.496,3.3,4.1,0.802,0.3,3.2,3.5,5.9,1.2,0.3,1.7,2,14.7,NA
71,"Scottie Barnes",23,"TOR","PF",65,65,2134,8,17.9,0.446,1.3,4.7,0.271,6.7,13.2,0.508,0.482,3.8,5.1,0.755,1.8,6.6,8.5,6.4,1.6,1.1,3.1,1.9,21.1,NA
72,"Max Christie",21,"2TM","SG",78,36,2127,4.3,10,0.427,1.9,5.3,0.366,2.3,4.7,0.496,0.525,2.2,2.6,0.855,0.6,3.7,4.4,2.5,1.1,0.5,1.5,1.9,12.7,NA
72,"Max Christie",21,"LAL","SG",46,25,1154,4,9,0.444,1.9,5.1,0.368,2.1,3.9,0.544,0.549,2.3,2.7,0.851,0.8,3.1,3.8,2.1,1.1,0.7,1.2,2.3,12.2,NA
72,"Max Christie",21,"DAL","SG",32,11,973,4.6,11.2,0.411,2,5.6,0.364,2.6,5.6,0.457,0.502,2.1,2.4,0.862,0.5,4.5,5,3,1.1,0.4,1.8,1.6,13.3,NA
73,"Josh Giddey",22,"CHI","PG",70,69,2117,6.3,13.6,0.465,1.8,4.7,0.378,4.5,8.8,0.512,0.531,3,3.8,0.781,2.2,7.5,9.6,8.6,1.4,0.8,3.4,2.1,17.4,NA
74,"Fred VanVleet",30,"HOU","PG",60,60,2111,4.9,12.9,0.378,2.7,7.9,0.345,2.2,5.1,0.43,0.483,1.9,2.3,0.81,0.5,3.2,3.8,5.7,1.6,0.4,1.5,2.4,14.4,NA
75,"Keyonte George",21,"UTA","PG",67,35,2109,6.1,15.7,0.391,3,8.7,0.343,3.2,7,0.449,0.485,4,4.9,0.818,0.4,3.9,4.3,6.4,0.8,0.2,3.1,1.9,19.2,NA
76,"Dennis Schröder",31,"3TM","PG",75,49,2105,5.7,14.1,0.406,2.2,6.3,0.342,3.6,7.8,0.458,0.483,3.1,3.7,0.838,0.5,2.9,3.4,6.9,1.1,0.2,2.4,3.1,16.8,NA
76,"Dennis Schröder",31,"BRK","PG",23,23,772,6.9,15.2,0.452,2.7,7,0.387,4.2,8.2,0.509,0.542,3.4,3.8,0.889,0.2,3,3.2,7.1,1.2,0.2,2.8,2.6,19.8,NA
76,"Dennis Schröder",31,"GSW","SG",24,18,628,5.4,14.4,0.375,2.1,6.6,0.322,3.3,7.8,0.419,0.448,1.7,2.2,0.744,0.6,2.6,3.2,6,1.4,0.2,2.8,3.8,14.6,NA
76,"Dennis Schröder",31,"DET","PG",28,8,705,4.9,12.8,0.378,1.6,5.4,0.302,3.2,7.4,0.434,0.442,4.1,4.9,0.833,0.7,3.1,3.8,7.5,0.8,0.3,1.8,2.9,15.4,NA
77,"Damian Lillard",34,"MIL","PG",58,58,2093,7.6,17.1,0.448,3.4,9,0.376,4.2,8,0.528,0.547,6.2,6.8,0.921,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9,NA
78,"Russell Westbrook",36,"DEN","PG",75,36,2092,6.4,14.3,0.449,1.6,5,0.323,4.8,9.3,0.517,0.505,2.7,4,0.661,1.8,4.6,6.4,7.9,1.8,0.6,4.2,3.2,17.1,NA
79,"Kelly Oubre Jr.",29,"PHI","SF",60,57,2078,6,12.8,0.47,1.2,4.2,0.293,4.8,8.6,0.555,0.518,2.4,3.2,0.751,1.7,4.7,6.4,1.9,1.6,0.5,1.4,3.1,15.7,NA
80,"Nickeil Alexander-Walker",26,"MIN","SG",82,10,2073,4.7,10.7,0.438,2.4,6.4,0.381,2.2,4.3,0.524,0.553,1.6,2,0.78,0.9,3.7,4.6,3.9,0.9,0.6,1.7,2.4,13.4,NA
81,"Luguentz Dort",25,"OKC","SF",71,71,2073,4.5,10.3,0.435,3,7.2,0.412,1.5,3.1,0.489,0.578,0.6,0.8,0.717,1.5,3.5,5.1,2,1.4,0.7,0.9,3.6,12.5,NA
82,"Onyeka Okongwu",24,"ATL","C",74,40,2064,6.8,11.9,0.567,0.8,2.6,0.324,5.9,9.3,0.634,0.602,2.9,3.8,0.759,3.8,7.7,11.5,2.9,1.2,1.2,1.6,3.4,17.2,NA
83,"Malik Monk",26,"SAC","SG",65,45,2054,7.2,16.5,0.439,2.4,7.5,0.325,4.8,9,0.534,0.513,2.7,3.1,0.865,0.5,3.8,4.3,6.3,1.1,0.7,2.8,2.8,19.6,NA
84,"Jaylen Wells",21,"MEM","SG",79,74,2043,5.1,11.9,0.425,2.4,6.9,0.352,2.6,5,0.525,0.527,2,2.4,0.822,1.5,3.2,4.7,2.4,0.8,0.1,1.2,2.6,14.5,NA
85,"Jalen Duren",21,"DET","C",78,78,2034,6.7,9.7,0.692,0,0,NA,6.7,9.7,0.692,0.692,2.9,4.3,0.669,4.9,9.4,14.3,3.7,1,1.6,2.4,4.4,16.2,NA
86,"Jalen Wilson",24,"BRK","PF",79,22,2031,4.4,11,0.397,2.2,6.4,0.337,2.2,4.6,0.481,0.495,2.4,2.9,0.818,1.3,3.5,4.8,2.6,0.7,0.1,1.4,2.9,13.3,NA
87,"Miles Bridges",26,"CHO","PF",64,64,2029,8.3,19.3,0.431,2.5,8,0.313,5.8,11.3,0.513,0.495,3.9,4.5,0.87,1.3,7.3,8.5,4.4,0.8,0.8,2.4,1.7,23.1,NA
88,"Davion Mitchell",26,"2TM","PG",74,37,2027,4,8.5,0.468,1.5,3.7,0.398,2.5,4.7,0.525,0.557,1,1.5,0.69,0.6,2.3,3,6.4,1.3,0.3,2.3,3.3,10.4,NA
88,"Davion Mitchell",26,"TOR","PG",44,22,1080,3.5,8.1,0.434,1.4,3.9,0.359,2.1,4.2,0.504,0.52,0.8,1.2,0.676,0.5,2.3,2.8,6.8,1,0.3,2.6,3.9,9.3,NA
88,"Davion Mitchell",26,"MIA","PG",30,15,947,4.4,8.8,0.504,1.6,3.6,0.447,2.9,5.2,0.543,0.595,1.3,1.8,0.702,0.7,2.4,3.1,6.1,1.6,0.3,1.9,2.6,11.7,NA
89,"Franz Wagner",23,"ORL","SF",60,60,2023,9.6,20.7,0.463,1.9,6.3,0.295,7.7,14.4,0.535,0.507,4.8,5.5,0.871,1,5.1,6.1,5.1,1.3,0.4,2.5,2.6,25.8,NA
90,"Quentin Grimes",24,"2TM","SG",75,37,2013,6.9,14.7,0.467,2.9,7.5,0.385,4,7.2,0.552,0.565,2.9,3.8,0.757,1.1,4.7,5.8,4.1,1.3,0.4,2.5,2.5,19.5,NA
90,"Quentin Grimes",24,"DAL","SG",47,12,1070,5.7,12.3,0.463,2.7,6.8,0.398,3,5.5,0.543,0.573,2.1,2.7,0.765,1,5,6,3.4,1.1,0.3,2.1,2.6,16.1,NA
90,"Quentin Grimes",24,"PHI","SG",28,25,943,8.2,17.5,0.469,3.1,8.4,0.373,5.1,9.1,0.559,0.559,3.8,5.1,0.752,1.1,4.4,5.5,4.8,1.6,0.5,3.1,2.3,23.4,NA
91,"Jordan Poole",25,"WAS","SG",68,68,2001,8.2,19,0.432,4.2,11.2,0.378,4,7.8,0.51,0.544,4.4,4.9,0.883,0.6,3.1,3.7,5.5,1.5,0.5,3.7,3.6,25,NA
92,"Draymond Green",34,"GSW","PF",68,66,1983,3.9,9.2,0.424,1.5,4.5,0.325,2.5,4.8,0.517,0.503,1.8,2.7,0.687,1.3,6.2,7.5,7,1.8,1.3,3.2,4,11.1,NA
93,"Devin Vassell",24,"SAS","SG",64,53,1983,7.2,16.1,0.443,2.9,7.8,0.368,4.3,8.4,0.513,0.532,1.7,2.2,0.792,0.6,4,4.6,3.3,1.5,0.6,1.6,2,18.9,NA
94,"Klay Thompson",34,"DAL","SF",72,72,1965,6.6,16.1,0.412,4,10.1,0.391,2.7,5.9,0.448,0.535,1.2,1.4,0.905,0.8,3.7,4.5,2.7,0.9,0.5,1.6,1.5,18.4,NA
95,"Tyrese Maxey",24,"PHI","PG",52,52,1960,8.8,20,0.437,3,8.8,0.337,5.8,11.3,0.515,0.511,4.7,5.3,0.879,0.3,2.9,3.2,5.8,1.7,0.4,2.3,2.1,25.1,NA
96,"Norman Powell",31,"LAC","SG",60,60,1958,8.4,17.4,0.484,3.3,7.9,0.418,5.1,9.5,0.538,0.578,3.9,4.9,0.804,0.4,3.1,3.5,2.3,1.3,0.2,2,2.1,24,NA
97,"Yves Missi",20,"NOP","C",73,67,1956,5,9.1,0.547,0,0,0,5,9,0.548,0.547,2.3,3.8,0.623,4.7,6.4,11.1,1.8,0.7,1.8,1.5,2.7,12.2,NA
98,"Keon Ellis",25,"SAC","SG",80,28,1948,4.2,8.6,0.489,2.6,5.9,0.433,1.6,2.6,0.615,0.639,1.3,1.6,0.849,1.1,2.8,3.9,2.2,2.2,1.2,1.3,3.3,12.3,NA
99,"Bilal Coulibaly",20,"WAS","SF",59,59,1948,4.9,11.5,0.421,1.2,4.1,0.281,3.7,7.4,0.5,0.472,2.6,3.4,0.746,1.7,3.8,5.4,3.7,1.4,0.8,2.3,2.6,13.4,NA
100,"Kyle Kuzma",29,"2TM","PF",65,62,1936,6.9,15.8,0.436,1.8,5.8,0.307,5.1,9.9,0.512,0.493,2.4,3.8,0.634,1,5.9,6.9,2.8,0.7,0.4,2.7,2.2,17.9,NA
100,"Kyle Kuzma",29,"WAS","PF",32,30,887,7.8,18.5,0.42,1.8,6.5,0.281,5.9,12,0.495,0.469,2.4,4,0.602,1.1,6.4,7.5,3.2,0.8,0.3,3,2.1,19.7,NA
100,"Kyle Kuzma",29,"MIL","PF",33,32,1049,6.1,13.5,0.455,1.8,5.3,0.333,4.4,8.2,0.533,0.52,2.4,3.6,0.663,0.9,5.4,6.3,2.5,0.5,0.4,2.5,2.3,16.4,NA
101,"Julian Champagnie",23,"SAS","SF",82,29,1932,5.1,12.4,0.415,3.3,8.9,0.371,1.8,3.4,0.53,0.549,1.6,1.8,0.904,1.2,4.7,5.9,2.1,1.1,0.7,1.4,2.1,15.2,NA
102,"Keon Johnson",22,"BRK","SG",79,56,1925,5.7,14.6,0.389,2.4,7.5,0.314,3.3,7.1,0.468,0.47,2,2.6,0.77,1.2,4.4,5.6,3.3,1.5,0.6,2.2,3.9,15.7,NA
103,"Naji Marshall",27,"DAL","SF",69,31,1919,6.8,13.4,0.508,1.1,4.1,0.275,5.7,9.3,0.611,0.551,2.4,3,0.813,1.4,4.7,6.2,3.9,1.3,0.2,2.1,2,17.1,NA
104,"Jrue Holiday",34,"BOS","PG",62,62,1896,4.8,10.9,0.443,2.1,5.8,0.353,2.8,5.1,0.547,0.538,1.3,1.5,0.909,1.4,3.6,5,4.5,1.3,0.5,1.5,1.9,13,NA
105,"Guerschon Yabusele",29,"PHI","C",70,43,1895,5.4,10.7,0.501,2,5.2,0.38,3.4,5.5,0.616,0.593,1.9,2.6,0.725,2.5,5,7.5,2.8,1.1,0.5,1.7,3.1,14.6,NA
106,"Gary Trent Jr.",26,"MIL","SG",74,9,1893,5.4,12.5,0.431,3.4,8.2,0.416,2,4.3,0.46,0.568,1.5,1.7,0.848,0.4,2.8,3.2,1.7,1.4,0.1,0.8,2.4,15.7,NA
107,"Anthony Black",21,"ORL","PG",78,10,1887,5,11.8,0.423,1.2,3.7,0.318,3.8,8.1,0.471,0.473,2.9,3.8,0.761,1,3.4,4.4,4.6,1.6,0.9,2.7,3.2,14,NA
108,"Josh Green",24,"CHO","SG",68,67,1887,3.4,8,0.428,1.9,4.7,0.391,1.6,3.3,0.48,0.543,0.9,1.4,0.681,1.1,2.2,3.3,2.1,1.4,0.3,1.3,3.1,9.7,NA
109,"Nic Claxton",25,"BRK","C",70,62,1882,6.1,10.9,0.563,0.1,0.4,0.238,6,10.5,0.576,0.568,1.5,2.9,0.513,3,6.8,9.9,3,1.2,1.9,1.7,2.9,13.8,NA
110,"Andrew Nembhard",25,"IND","SG",65,65,1881,4.7,10.3,0.458,1,3.3,0.291,3.8,7,0.538,0.506,2.1,2.6,0.794,0.7,3.5,4.1,6.2,1.5,0.2,2.1,2.9,12.5,NA
111,"Cason Wallace",21,"OKC","SG",68,43,1876,4.5,9.4,0.474,1.4,4,0.356,3,5.4,0.562,0.55,0.6,0.7,0.811,1.4,3,4.4,3.3,2.3,0.7,1.1,2.8,10.9,NA
112,"Derrick Jones Jr.",27,"LAC","SF",77,55,1873,6,11.3,0.526,1.5,4.2,0.356,4.5,7.1,0.627,0.593,1.6,2.3,0.703,1.8,3.3,5.1,1.2,1.5,0.6,1.3,2.9,15,NA
113,"Rui Hachimura",26,"LAL","PF",59,57,1869,5.6,11.1,0.509,2,4.8,0.413,3.7,6.3,0.581,0.597,1.7,2.2,0.77,1.5,4.2,5.7,1.6,0.9,0.5,0.9,2,14.9,NA
114,"RJ Barrett",24,"TOR","SF",58,58,1869,8.9,18.9,0.468,2.1,5.9,0.35,6.8,13,0.522,0.523,3.8,6,0.63,1.2,5.9,7,6,0.9,0.3,3.2,2.6,23.6,NA
115,"Buddy Hield",32,"GSW","SG",82,22,1863,6.3,15.2,0.417,3.9,10.6,0.37,2.4,4.6,0.527,0.546,1,1.2,0.828,1,4.1,5.1,2.6,1.3,0.4,1.8,2.6,17.6,NA
116,"Trey Murphy III",24,"NOP","SF",53,51,1854,7.4,16.3,0.454,3.1,8.5,0.361,4.3,7.8,0.556,0.548,4,4.5,0.887,0.9,4.3,5.2,3.7,1.1,0.8,2,2.2,21.8,NA
117,"Zaccharie Risacher",19,"ATL","SF",75,73,1843,7,15.2,0.458,2.4,6.7,0.355,4.6,8.5,0.54,0.537,2.1,2.9,0.711,1.7,3.6,5.2,1.8,1,0.7,1.8,2.9,18.4,NA
118,"Andrew Wiggins",29,"2TM","SF",60,60,1842,7.3,16.4,0.448,2.5,6.8,0.374,4.8,9.6,0.501,0.526,3.8,5,0.763,1.7,3.5,5.3,3.1,1.2,1,1.9,2,21.1,NA
118,"Andrew Wiggins",29,"GSW","SF",43,43,1296,7.2,16.3,0.444,2.6,6.9,0.379,4.6,9.4,0.491,0.524,3.9,5,0.777,1.8,3.6,5.5,2.8,1.1,0.9,1.6,1.9,21,NA
118,"Andrew Wiggins",29,"MIA","SF",17,17,546,7.6,16.5,0.458,2.4,6.6,0.36,5.2,10,0.523,0.53,3.8,5.1,0.731,1.5,3.2,4.7,3.7,1.3,1.1,2.8,2,21.3,NA
119,"Isaiah Collier",20,"UTA","PG",71,46,1839,4.6,10.9,0.422,0.8,3.3,0.249,3.8,7.6,0.497,0.459,2.1,3,0.682,0.6,4,4.6,8.7,1.3,0.3,4.1,2.9,12,NA
120,"Keldon Johnson",25,"SAS","SF",77,0,1838,7.3,15.1,0.482,1.7,5.4,0.318,5.6,9.7,0.573,0.538,2.9,3.8,0.773,2.2,5.1,7.3,2.4,1,0.4,1.5,2.3,19.2,NA
121,"Royce O'Neale",31,"PHO","SF",75,22,1837,4.7,11.2,0.423,3.5,8.6,0.406,1.2,2.5,0.481,0.58,0.4,0.5,0.731,1,5.8,6.8,3.2,1.3,0.7,1.3,3,13.3,NA
122,"P.J. Washington",26,"DAL","PF",57,56,1835,5.9,13,0.453,1.8,4.7,0.381,4.1,8.4,0.493,0.521,2.8,3.9,0.722,1.6,7.1,8.7,2.6,1.2,1.2,2.3,2.6,16.4,NA
123,"CJ McCollum",33,"NOP","PG",56,56,1832,8.7,19.7,0.444,3.4,9,0.373,5.4,10.6,0.505,0.53,2.4,3.4,0.717,0.8,3.3,4.2,4.5,0.9,0.5,2.1,2.4,23.2,NA
124,"Haywood Highsmith",28,"MIA","SF",74,42,1818,3.5,7.7,0.458,1.8,4.6,0.382,1.8,3.1,0.57,0.572,0.6,0.9,0.721,1.4,3.6,5,2.2,1.3,0.7,1.1,3.2,9.5,NA
125,"Dorian Finney-Smith",31,"2TM","PF",63,40,1818,3.9,8.6,0.448,2.6,6.2,0.411,1.3,2.4,0.545,0.597,0.6,0.9,0.667,1.6,3.3,4.9,1.8,1.1,0.5,1.1,2.7,10.9,NA
125,"Dorian Finney-Smith",31,"BRK","PF",20,20,579,4.5,9.9,0.459,2.9,6.7,0.435,1.6,3.2,0.51,0.607,0.9,1.5,0.625,1.9,3.7,5.7,1.9,1.1,0.7,1.1,3.4,12.9,NA
125,"Dorian Finney-Smith",31,"LAL","PF",43,20,1239,3.5,8,0.442,2.4,6,0.398,1.2,2,0.571,0.591,0.4,0.6,0.714,1.4,3.1,4.5,1.7,1.2,0.3,1.1,2.4,9.9,NA
126,"Alex Sarr",19,"WAS","C",67,67,1814,6.5,16.4,0.394,2.1,6.8,0.308,4.4,9.7,0.454,0.457,2.2,3.3,0.679,2.5,6.2,8.6,3.2,0.9,2,2.3,2.9,17.2,NA
127,"Kyrie Irving",32,"DAL","SG",50,50,1804,8.9,18.9,0.473,2.9,7.2,0.401,6,11.7,0.517,0.549,3.9,4.3,0.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2,24.6,NA
128,"Kyshawn George",21,"WAS","SG",68,38,1802,4.1,10.9,0.372,2.3,7.1,0.322,1.8,3.8,0.464,0.476,1.4,1.9,0.753,1,4.7,5.7,3.4,1.4,1,1.9,4,11.8,NA
129,"Cameron Johnson",28,"BRK","PF",57,57,1800,7.1,14.9,0.475,3.2,8.2,0.39,3.9,6.8,0.578,0.582,4,4.5,0.893,1.1,3.9,4.9,3.9,1.1,0.5,2,2.1,21.4,NA
130,"Duncan Robinson",30,"MIA","SF",74,37,1785,5.8,13.4,0.437,3.8,9.7,0.393,2,3.6,0.556,0.581,0.9,1.1,0.887,0.4,3,3.4,3.5,0.8,0.1,1.7,2.7,16.5,NA
131,"Kris Dunn",30,"LAC","PG",74,58,1783,3.9,8.8,0.439,1.5,4.5,0.335,2.4,4.3,0.549,0.525,0.3,0.4,0.682,1.1,4,5.1,4.2,2.6,0.5,1.5,4,9.6,NA
